Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK
Date,,,,,,
2025-05-09,6819.6044921875,6825.0,7025.0,6800.0,6950.0,3817800
2025-05-14,6919.525390625,6925.0,7100.0,6775.0,7000.0,8083400
2025-05-15,6919.525390625,6925.0,7300.0,6925.0,7000.0,23384100
2025-05-16,6694.70361328125,6700.0,7050.0,6700.0,6975.0,12254200
2025-05-19,6469.88134765625,6475.0,6800.0,6425.0,6725.0,12010200
2025-05-20,6344.97998046875,6350.0,6500.0,6250.0,6475.0,9369200
2025-05-21,6394.9404296875,6400.0,6625.0,6375.0,6375.0,8969800
2025-05-22,6320.0,6325.0,6475.0,6275.0,6400.0,3742400
2025-05-23,6320.0,6325.0,6350.0,6250.0,6275.0,2345500
2025-05-26,6300.0,6300.0,6400.0,6250.0,6325.0,2240600
2025-05-27,6325.0,6325.0,6400.0,6300.0,6325.0,2835500
2025-05-28,6300.0,6300.0,6350.0,6275.0,6350.0,2694600
2025-06-02,6225.0,6225.0,6350.0,6200.0,6300.0,2738800
2025-06-03,6350.0,6350.0,6575.0,6000.0,6225.0,8045100
2025-06-04,6500.0,6500.0,6775.0,6325.0,6400.0,12725800
2025-06-05,6450.0,6450.0,6550.0,6375.0,6525.0,3076200
2025-06-10,6275.0,6275.0,6400.0,6250.0,6300.0,4928500
2025-06-11,6375.0,6375.0,6500.0,6250.0,6275.0,7860100
2025-06-12,6300.0,6300.0,6500.0,6225.0,6375.0,6987100
2025-06-13,6100.0,6100.0,6250.0,6100.0,6250.0,5883200
2025-06-16,6150.0,6150.0,6350.0,6025.0,6100.0,6709500
2025-06-17,6025.0,6025.0,6325.0,5975.0,6150.0,10574000
2025-06-18,6250.0,6250.0,6300.0,5950.0,6050.0,13859400
2025-06-19,6000.0,6000.0,6375.0,5875.0,6300.0,12690700
2025-06-20,6100.0,6100.0,6100.0,5875.0,6000.0,5966200
2025-06-23,5700.0,5700.0,5900.0,5500.0,5900.0,7750400
2025-06-24,5850.0,5850.0,5925.0,5800.0,5900.0,3814900
2025-06-25,5800.0,5800.0,5950.0,5800.0,5950.0,3115700
2025-06-26,5850.0,5850.0,5950.0,5775.0,5900.0,2768300
2025-06-30,5775.0,5775.0,5900.0,5700.0,5750.0,3173900
2025-07-01,5725.0,5725.0,5850.0,5725.0,5775.0,2065100
2025-07-02,5400.0,5400.0,5725.0,5400.0,5725.0,5628500
2025-07-03,5425.0,5425.0,5550.0,5400.0,5425.0,2516200
2025-07-04,5425.0,5425.0,5500.0,5400.0,5425.0,1994400
2025-07-07,5550.0,5550.0,5600.0,5400.0,5425.0,3570100
2025-07-08,5700.0,5700.0,5800.0,5525.0,5575.0,5276000
2025-07-09,6075.0,6075.0,6250.0,5725.0,5750.0,18048400
2025-07-10,5975.0,5975.0,6175.0,5950.0,6125.0,5013700
2025-07-11,6025.0,6025.0,6150.0,5950.0,6000.0,4203000
2025-07-14,6275.0,6275.0,6350.0,6050.0,6050.0,14136300
2025-07-15,6125.0,6125.0,6375.0,6050.0,6300.0,8582900
2025-07-16,6075.0,6075.0,6250.0,6050.0,6225.0,6492400
2025-07-17,6075.0,6075.0,6175.0,6050.0,6100.0,4292500
2025-07-18,6025.0,6025.0,6150.0,6000.0,6125.0,4635400
2025-07-21,6175.0,6175.0,6250.0,5950.0,6025.0,8769700
2025-07-22,6000.0,6000.0,6300.0,6000.0,6200.0,13040700
2025-07-23,6075.0,6075.0,6125.0,5900.0,6000.0,20320400
2025-07-24,5975.0,5975.0,6125.0,5975.0,6075.0,11857100
2025-07-25,5925.0,5925.0,6000.0,5475.0,5900.0,5428500
2025-07-28,6050.0,6050.0,6075.0,5950.0,5950.0,5565400
2025-07-29,6025.0,6025.0,6075.0,5975.0,6050.0,2809700
2025-07-30,6100.0,6100.0,6250.0,5950.0,6000.0,11005800
2025-07-31,6025.0,6025.0,6175.0,5975.0,6125.0,5147700
2025-08-01,6050.0,6050.0,6100.0,6025.0,6050.0,2773900
2025-08-04,5975.0,5975.0,6075.0,5925.0,6050.0,5546300
2025-08-05,6000.0,6000.0,6075.0,5975.0,6025.0,4298700
2025-08-06,5975.0,5975.0,6025.0,5950.0,5975.0,3598900
2025-08-07,5900.0,5900.0,6000.0,5900.0,5975.0,3853900
2025-08-08,5825.0,5825.0,5950.0,5800.0,5950.0,4761200
2025-08-11,6000.0,6000.0,6000.0,5825.0,5825.0,3813300
2025-08-12,5950.0,5950.0,6050.0,5900.0,6000.0,3699700
2025-08-13,5900.0,5900.0,6000.0,5875.0,5950.0,3766400
2025-08-14,5900.0,5900.0,6000.0,5875.0,6000.0,2241500
2025-08-15,5850.0,5850.0,5950.0,5800.0,5925.0,3152000
2025-08-19,6000.0,6000.0,6100.0,5900.0,6000.0,8758700
2025-08-20,6075.0,6075.0,6125.0,5950.0,6050.0,7077500
2025-08-21,5950.0,5950.0,6175.0,5925.0,6150.0,14011500
2025-08-22,6050.0,6050.0,6100.0,5950.0,5975.0,6435600
2025-08-25,6850.0,6850.0,7150.0,6025.0,6050.0,66198800
2025-08-26,6525.0,6525.0,6975.0,6425.0,6975.0,22998300
2025-08-27,6775.0,6775.0,6900.0,6575.0,6575.0,24994300
2025-08-28,6650.0,6650.0,6825.0,6625.0,6800.0,7162000
2025-08-29,6450.0,6450.0,6575.0,6200.0,6550.0,20984700
2025-09-01,6250.0,6250.0,6425.0,6025.0,6125.0,10048700
2025-09-02,6550.0,6550.0,6675.0,6325.0,6400.0,9169400
2025-09-03,6350.0,6350.0,6975.0,6325.0,6800.0,33880600
2025-09-04,6275.0,6275.0,6450.0,6250.0,6425.0,5785100
2025-09-08,6000.0,6000.0,6350.0,6000.0,6300.0,11900300
2025-09-09,6025.0,6025.0,6175.0,5950.0,5975.0,7540700
2025-09-10,6050.0,6050.0,6225.0,6025.0,6025.0,5827900
2025-09-11,6050.0,6050.0,6175.0,6025.0,6150.0,4644500
2025-09-12,6100.0,6100.0,6125.0,6000.0,6075.0,4823300
2025-09-15,6150.0,6150.0,6150.0,6025.0,6125.0,6851600
2025-09-16,6075.0,6075.0,6200.0,6050.0,6150.0,2858600
2025-09-17,6125.0,6125.0,6175.0,6075.0,6075.0,4620400
2025-09-18,6050.0,6050.0,6150.0,6050.0,6150.0,3155500
2025-09-19,6075.0,6075.0,6100.0,6025.0,6075.0,2083700
